Country;League;Club;Player Names;Matches_Played;Substitution ;Mins;Goals;xG;xG Per Avg Match;Shots;OnTarget;Shots Per Avg Match;On Target Per Avg Match;Year
Spain;La Liga;(BET);Juanmi Callejon;19;16;1849;11;Haz.62;0.34;48;20;ﬁub.47;1.Mar;2016
Spain;La Liga;(BAR);Antoine Griezmann;36;0;3129;16;Kas.86;0.36;88;41;ﬁub.67;Oca.24;2016
Spain;La Liga;(ATL);Luis Suarez;34;1;2940;28;23.21;0.75;120;57;Mar.88;Oca.84;2016
Spain;La Liga;(CAR);Ruben Castro;32;3;2842;13;14.Haz;0.47;117;42;Mar.91;1.Nis;2016
Spain;La Liga;(VAL);Kevin Gameiro;21;10;1745;13;Eki.65;0.58;50;23;ﬁub.72;Oca.25;2016
Spain;La Liga;(JUV);Cristiano Ronaldo;29;0;2634;25;24.68;0.89;162;60;May.84;ﬁub.16;2016
Spain;La Liga;(RMA);Karim Benzema;23;6;1967;11;13.25;0.64;69;34;Mar.33;Oca.64;2016
Spain;La Liga;(PSG);Neymar ;30;0;2694;13;13.33;0.47;105;42;3.Tem;Oca.48;2016
Spain;La Liga;(CEL);Iago Aspas;25;7;2354;19;13.88;0.56;78;37;Mar.15;Oca.49;2016
Spain;La Liga;(EIB);Sergi Enrich;31;7;2904;11;Au.25;0.27;64;26;2.Eyl;0.85;2016
Spain;La Liga;None;Aduriz ;27;5;2480;16;15.92;0.61;85;45;Mar.26;Oca.72;2016
Spain;La Liga;(HUE);Sandro Ramlrez;28;2;2340;14;Tem.14;0.29;93;38;Mar.78;Oca.54;2016
Spain;La Liga;(BAR);Lionel Messi;32;2;2910;37;26.65;0.87;179;76;May.84;ﬁub.48;2016
Spain;La Liga;(VIL);Gerard Moreno;37;0;3361;13;Au.49;0.24;82;32;ﬁub.32;0.9;2016
Spain;La Liga;(JUV);Morata;14;12;1392;15;Eyl.67;0.66;55;30;Mar.75;2.May;2016
Spain;La Liga;(MON);Wissam Ben Yedder;20;11;1735;11;Tem.85;0.43;44;23;ﬁub.41;Oca.26;2016
Spain;La Liga;(SOC);Willian Jose;27;1;2102;12;Au.41;0.38;69;29;3.Ara;Oca.31;2016
Spain;La Liga;Florin;Andone ;32;5;2984;12;Kas.62;0.37;99;42;Mar.15;Oca.34;2016
Spain;La Liga;(SOC);Cedric Bakambu;17;9;1633;10;8.Au;0.47;50;26;ﬁub.91;Oca.51;2016
Spain;La Liga;(RMA);Isco;18;12;1690;10;Mar.91;0.22;32;15;1.Au;0.84;2016
Italy;Serie A;(LIV);Mohamed Salah;29;2;2567;15;Kas.62;0.43;80;50;ﬁub.96;Oca.85;2016
